TaxiID,lpep_pickup_datetime,lpep_dropoff_datetime,passenger_count,trip_distance,total_amount
17083,2018-01-01 00:18:50,2018-01-01 00:24:39,5,0.7,7.3
6826,2018-01-01 00:30:26,2018-01-01 00:46:42,5,3.5,15.8
2779,2018-01-01 00:07:25,2018-01-01 00:19:45,1,2.14,11.3
13185,2018-01-01 00:32:40,2018-01-01 00:33:41,1,0.03,-4.3
14702,2018-01-01 00:32:40,2018-01-01 00:33:41,1,0.03,4.3
12940,2018-01-01 00:38:35,2018-01-01 01:08:50,1,5.63,22.3
15740,2018-01-01 00:18:41,2018-01-01 00:28:22,5,1.71,9.8
13730,2018-01-01 00:38:02,2018-01-01 00:55:02,5,3.45,18.96
3172,2018-01-01 00:05:02,2018-01-01 00:18:35,1,1.61,11.3
2044,2018-01-01 00:35:23,2018-01-01 00:42:07,1,1.87,8.8
10689,2018-01-01 00:21:00,2018-01-01 00:39:04,2,4.12,17.8
7339,2018-01-01 00:56:29,2018-01-01 01:04:44,2,1.22,8.3
353,2018-01-01 00:11:48,2018-01-01 00:30:13,1,4.67,18.3
649,2018-01-01 00:57:59,2018-01-01 01:12:26,1,2.71,16.64
1567,2018-01-01 00:36:58,2018-01-01 00:51:08,2,6.01,24.3
12235,2018-01-01 00:07:40,2018-01-01 00:15:20,1,1.9,12.3
18467,2018-01-01 00:25:09,2018-01-01 00:42:04,2,4.3,20.15
2272,2018-01-01 00:42:52,2018-01-01 01:00:53,1,6.9,23.3
11051,2018-01-01 00:06:22,2018-01-01 00:08:17,1,0.3,4.8
11051,2018-01-01 00:06:22,2018-01-01 00:08:17,1,0.3,4.8
15833,2018-01-01 00:34:53,2018-01-01 00:52:55,1,4.47,23.31
11255,2018-01-01 00:25:08,2018-01-01 00:28:27,1,0.5,5.8
3928,2018-01-01 00:36:26,2018-01-01 00:51:07,1,1.82,10.3
1781,2018-01-01 00:53:05,2018-01-01 01:26:51,1,11.79,46.71
13073,2018-01-01 00:11:41,2018-01-01 00:22:10,1,1.9,13.35
